Found NounMappings: ,,,

Reference,Name,Type,NameOrType
exception,1.6500000000000001,0.8500000000000001,11.6
parent,0.05,0.05,0.4
css,0.05,0.05,1.4
objects,1.6500000000000001,1.65,25.799999999999994
convenience,0.05,0.05,1.2
loginfilter,0.05,0.05,1.4
ajax,0.05,0.05,1.2
evaluation,0.05,0.25,3.8000000000000003
these,0.05,0.05,1.0
hiding,0.05,0.05,1.2
integrity,0.05,0.05,1.2
java,0.8500000000000001,0.05,1.7999999999999998
styling,0.05,0.05,1.2
dev,0.05,0.05,0.2
xml,0.8500000000000001,0.05,1.2
state,0.05,0.25,0.2
limitations,0.05,0.2,1.0
app,3.25,0.05,29.599999999999987
page/instructorhomepage,0.05,0.05,1.2
old,0.05,0.05,0.2
impact,0.05,0.05,1.2
google,0.05,0.05,0.4
them,0.05,0.05,7.0
packages,0.05,1.0,8.8
analysis,0.05,0.05,0.2
nosql,0.05,0.05,0.2
input,0.05,0.05,0.4
util,1.6500000000000001,0.05,2.4
returns,0.05,0.45,3.0
folow,0.05,0.05,0.2
schema,0.05,0.05,3.6
sub,0.05,0.05,0.2
components,0.05,128.6,31.799999999999983
access,0.05,0.05,1.4
jsp,0.05,0.05,4.0
document,0.05,0.05,1.2
remoteapi,1.6500000000000001,0.2,2.2
utility,0.05,0.05,0.4
students,0.8500000000000001,0.2,2.2
association,0.05,0.05,0.2
example,0.05,0.25,3.8000000000000003
sixth,0.05,0.05,0.2
result,0.05,0.45,7.6000000000000005
default,0.05,0.05,1.2
selenium,0.05,0.05,0.2
suts,0.05,0.2,1.0
attribute,0.05,0.8500000000000001,5.4
mechanism,0.05,0.05,1.2
key,0.05,0.25,3.4
email,0.8500000000000001,0.05,1.2
policy,0.05,0.05,8.4
controller,0.8500000000000001,0.05,7.4
variables,0.05,0.2,1.0
business,0.05,0.05,0.2
decision,0.05,0.05,2.6
actionfactory,0.05,0.05,1.2
team,0.05,0.05,0.2
queries,0.05,0.2,1.0
diagram,0.05,0.05,0.4
automated,1.6,0.05,1.0
calls,0.05,0.2,1.0
persistence,0.05,0.05,0.4
fifth,0.05,0.05,0.2
principle,0.05,0.05,1.2
project,0.05,0.05,0.4
oop,0.05,0.05,0.4
view,1.6500000000000001,0.05,0.6000000000000001
ui,19.25,0.05,12.2
contact,0.8500000000000001,0.05,1.2
things,0.05,1.2,6.0
warning,0.05,0.05,1.2
others,0.05,0.2,2.0
given,0.05,0.05,2.0
test,8.049999999999999,1.65,16.39999999999999
maps,0.05,0.2,1.0
need,0.05,0.05,1.2
this,0.05,0.05,8.0
list,0.05,0.05,2.4
modification,0.05,0.45,3.2
users,0.05,0.4,5.6000000000000005
uris,0.05,0.4,2.2
failure,0.05,0.25,4.6
http,0.05,0.05,1.2
parameters,0.05,1.4,14.199999999999998
gql,0.05,0.05,0.2
const,0.05,0.05,0.4
string,0.05,0.05,0.2
changes,0.05,0.2,1.0
for,0.05,0.05,1.0
update,0.05,0.05,0.2
gae,0.05,0.05,3.2
forwarding,0.05,0.05,1.2
common,28.049999999999997,0.45,6.000000000000001
showpageresult,0.05,0.05,1.5999999999999999
create/update/delete,0.05,0.05,1.2
engine,0.05,0.05,1.2
sorting,0.05,0.05,1.2
json,0.05,0.05,0.2
client,14.25,0.65,4.6
end,0.05,0.25,6.000000000000001
class,0.05,2.25,20.6
overview,0.05,0.05,6.2
custom,0.05,0.05,0.4
filters,0.05,0.2,1.0
way,0.05,0.25,2.2
target,0.05,0.05,0.6000000000000001
home,0.05,0.05,0.2
environment,0.05,0.05,1.2
what,0.05,0.05,2.0
refer,0.05,0.05,0.2
regression,0.05,0.05,0.2
servlets,0.05,0.25,3.4
risk,0.05,0.05,1.2
time,0.05,0.05,3.6
practice,0.05,0.05,0.2
developers,0.05,0.2,1.0
facade,0.05,0.05,1.4
type,0.05,0.65,4.4
utilities,0.05,0.2,1.0
consistency,0.05,0.05,3.6
attempt,0.05,0.05,3.2
crud,0.05,0.05,0.4
relationships,0.05,0.2,1.0
number,0.05,0.05,1.2
action,0.05,1.05,22.799999999999994
validation,0.05,0.05,0.2
tasks,0.05,0.4,2.0
case,9.65,2.45,20.199999999999992
order,0.05,0.05,1.2
method,0.05,0.25,2.4
testing,0.05,0.05,8.600000000000001
isolation,0.05,0.05,1.2
it,0.05,0.05,13.0
pojos,0.0,0.2,0.0
system,0.05,0.05,1.4
driver,3.25,0.05,11.399999999999999
seventh,0.05,0.05,1.2
following,0.05,0.05,4.800000000000001
integration,0.05,0.05,1.4
status,0.05,0.25,1.2
template,0.05,0.05,0.2
server,0.05,0.25,13.0
pattern,0.05,0.05,1.4
